time,threshold,delta,regimes,vvix_max,n,wr,total,avg,best,worst,max_dd,mar
0945,8.0,-0.225,NO_R1,110,43,11.63,30040,698.6,14430,-840,4140.0,7.26
0945,8.0,-0.225,ALL,100,47,17.02,28030,596.38,15550,-600,3480.0,8.05
0945,8.0,-0.225,NO_R1,100,47,6.38,-8850,-188.3,5000,-2370,12270.0,-0.72
0945,8.0,-0.25,ALL,999,54,14.81,33740,624.81,16020,-660,9070.0,3.72
0945,8.0,-0.25,NO_R1,999,45,13.33,13340,296.44,13620,-1060,9780.0,1.36
0945,8.0,-0.25,ALL,110,51,15.69,35030,686.86,16020,-660,8280.0,4.23
0945,8.0,-0.25,NO_R1,110,38,13.16,17350,456.58,13620,-840,6840.0,2.54
0945,8.0,-0.25,ALL,100,46,17.39,30490,662.83,16020,-630,3360.0,9.07
0945,8.0,-0.25,NO_R1,100,47,6.38,-9910,-210.85,5440,-2640,14210.0,-0.7
0945,8.0,-0.275,ALL,999,52,17.31,35130,675.58,16480,-780,7980.0,4.4
0945,8.0,-0.275,NO_R1,999,41,17.07,13310,324.63,14010,-940,8170.0,1.63
0945,8.0,-0.275,ALL,110,52,15.38,34400,661.54,16480,-780,9260.0,3.71
0945,8.0,-0.275,NO_R1,110,35,14.29,15410,440.29,14010,-840,7380.0,2.09
0945,8.0,-0.275,ALL,100,43,18.6,27270,634.19,16480,-720,4030.0,6.77
0945,8.0,-0.275,NO_R1,100,26,19.23,580,22.31,5440,-840,3990.0,0.15
0945,8.0,-0.3,ALL,999,52,17.31,35830,689.04,16930,-890,8570.0,4.18
0945,8.0,-0.3,NO_R1,999,41,17.07,14550,354.88,14010,-1050,7670.0,1.9
0945,8.0,-0.3,ALL,110,52,15.38,34640,666.15,16930,-890,10400.0,3.33
0945,8.0,-0.3,NO_R1,110,35,14.29,15610,446.0,14010,-890,7670.0,2.04
0945,8.0,-0.3,ALL,100,43,18.6,28750,668.6,16930,-810,4690.0,6.13
0945,8.0,-0.3,NO_R1,100,26,19.23,2070,79.62,5880,-840,4320.0,0.48
0945,8.25,-0.05,ALL,999,163,3.68,20750,127.3,9680,-740,5630.0,3.69
0945,8.25,-0.05,NO_R1,999,115,4.35,12740,110.78,8550,-740,5210.0,2.45
0945,8.25,-0.05,ALL,110,248,2.02,15620,62.98,9680,-400,9130.0,1.71
0945,8.25,-0.05,NO_R1,110,192,2.08,8510,44.32,8550,-400,9430.0,0.9
0945,8.25,-0.05,ALL,100,225,0.89,580,2.58,9680,-360,6710.0,0.09
0945,8.25,-0.05,NO_R1,100,171,0.58,-6750,-39.47,2770,-360,9050.0,-0.75
0945,8.25,-0.075,ALL,999,131,4.58,27540,210.23,11160,-260,2620.0,10.51
0945,8.25,-0.075,NO_R1,999,83,6.02,18550,223.49,9530,-280,3000.0,6.18
0945,8.25,-0.075,ALL,110,120,5.0,29160,243.0,11160,-200,1920.0,15.19
0945,8.25,-0.075,NO_R1,110,66,7.58,21240,321.82,9530,-200,1310.0,16.21
0945,8.25,-0.075,ALL,100,128,3.12,7090,55.39,11160,-560,5500.0,1.29
0945,8.25,-0.075,NO_R1,100,79,2.53,-1470,-18.61,3740,-560,4530.0,-0.32
0945,8.25,-0.1,ALL,999,125,4.8,26860,214.88,12150,-330,3390.0,7.92
0945,8.25,-0.1,NO_R1,999,77,6.49,17340,225.19,10740,-360,3860.0,4.49
0945,8.25,-0.1,ALL,110,114,5.26,28910,253.6,12150,-280,2510.0,11.52
0945,8.25,-0.1,NO_R1,110,60,8.33,20740,345.67,10740,-280,1700.0,12.2
0945,8.25,-0.1,ALL,100,124,3.23,3780,30.48,12150,-750,7250.0,0.52
0945,8.25,-0.1,NO_R1,100,75,2.67,-6260,-83.47,1670,-750,6190.0,-1.01
0945,8.25,-0.125,ALL,999,111,6.31,29750,268.02,12640,-460,4300.0,6.92
0945,8.25,-0.125,NO_R1,999,77,6.49,18830,244.55,11690,-470,4830.0,3.9
0945,8.25,-0.125,ALL,110,100,7.0,32470,324.7,12640,-300,3140.0,10.34
0945,8.25,-0.125,NO_R1,110,60,8.33,23210,386.83,11690,-280,2070.0,11.21
0945,8.25,-0.125,ALL,100,113,4.42,4140,36.64,12640,-990,9470.0,0.44
0945,8.25,-0.125,NO_R1,100,75,2.67,-7310,-97.47,2650,-990,7600.0,-0.96
0945,8.25,-0.15,ALL,999,111,6.31,32430,292.16,13620,-570,5300.0,6.12
0945,8.25,-0.15,NO_R1,999,77,6.49,19820,257.4,12620,-570,5970.0,3.32
0945,8.25,-0.15,ALL,110,100,7.0,35790,357.9,13620,-390,3870.0,9.25
0945,8.25,-0.15,NO_R1,110,60,8.33,25170,419.5,12620,-360,2590.0,9.72
0945,8.25,-0.15,ALL,100,102,5.88,6820,66.86,13620,-1300,9750.0,0.7
0945,8.25,-0.15,NO_R1,100,65,4.62,-7200,-110.77,3130,-1300,7710.0,-0.93
0945,8.25,-0.175,ALL,999,105,6.67,33400,318.1,14110,-640,6380.0,5.24
0945,8.25,-0.175,NO_R1,999,77,6.49,20560,267.01,13530,-670,7280.0,2.82
0945,8.25,-0.175,ALL,110,95,7.37,37090,390.42,14110,-450,4690.0,7.91
0945,8.25,-0.175,NO_R1,110,60,8.33,27010,450.17,13530,-430,3180.0,8.49
0945,8.25,-0.175,ALL,100,97,6.19,5580,57.53,14110,-1670,11620.0,0.48
0945,8.25,-0.175,NO_R1,100,63,4.76,-8190,-130.0,4080,-1670,9160.0,-0.89
0945,8.25,-0.2,ALL,999,97,8.25,42090,433.92,15070,-790,7710.0,5.46
0945,8.25,-0.2,NO_R1,999,77,6.49,19410,252.08,13980,-800,8710.0,2.23
0945,8.25,-0.2,ALL,110,87,9.2,46570,535.29,15070,-520,5640.0,8.26
0945,8.25,-0.2,NO_R1,110,60,8.33,27160,452.67,13980,-520,3800.0,7.15
0945,8.25,-0.2,ALL,100,89,7.87,14540,163.37,15070,-1880,12420.0,1.17
0945,8.25,-0.2,NO_R1,100,63,4.76,-8860,-140.63,4540,-1880,9910.0,-0.89
0945,8.25,-0.225,ALL,999,90,8.89,38450,427.22,15550,-650,6880.0,5.59
0945,8.25,-0.225,NO_R1,999,72,8.33,20490,284.58,14430,-870,7170.0,2.86
0945,8.25,-0.225,ALL,110,82,9.76,42090,513.29,15550,-590,5320.0,7.91
0945,8.25,-0.225,NO_R1,110,60,8.33,26830,447.17,14430,-840,4140.0,6.48
0945,8.25,-0.225,ALL,100,70,11.43,23910,341.57,15550,-600,4530.0,5.28
0945,8.25,-0.225,NO_R1,100,63,4.76,-11770,-186.83,5000,-2370,12970.0,-0.91
0945,8.25,-0.25,ALL,999,79,11.39,28430,359.87,16020,-660,9890.0,2.87
0945,8.25,-0.25,NO_R1,999,62,9.68,9390,151.45,13620,-1060,10040.0,0.94
0945,8.25,-0.25,ALL,110,76,11.84,29720,391.05,16020,-660,9100.0,3.27
0945,8.25,-0.25,NO_R1,110,55,9.09,13400,243.64,13620,-840,7100.0,1.89
0945,8.25,-0.25,ALL,100,69,13.04,25700,372.46,16020,-630,4870.0,5.28
0945,8.25,-0.25,NO_R1,100,63,4.76,-13510,-214.44,5440,-2640,15320.0,-0.88
0945,8.25,-0.275,ALL,999,62,17.74,33220,535.81,16480,-780,9330.0,3.56
0945,8.25,-0.275,NO_R1,999,44,18.18,12680,288.18,14010,-940,8490.0,1.49
0945,8.25,-0.275,ALL,110,61,16.39,32860,538.69,16480,-780,10240.0,3.21
0945,8.25,-0.275,NO_R1,110,38,15.79,14780,388.95,14010,-840,7700.0,1.92
0945,8.25,-0.275,ALL,100,51,19.61,25940,508.63,16480,-720,4780.0,5.43
0945,8.25,-0.275,NO_R1,100,29,20.69,-50,-1.72,5440,-840,4310.0,-0.01
0945,8.25,-0.3,ALL,999,62,17.74,34040,549.03,16930,-890,10140.0,3.36
